car_park_no,car_park_type,car_park_type_encoded,cluster_label,kmeans,Sector,x_coord,y_coord
B54,SURFACE CAR PARK,5,1,3,East,37112.9655,35062.2564
B57,SURFACE CAR PARK,5,1,3,East,37537.5855,35336.4582
B59,SURFACE CAR PARK,5,1,3,East,38310.1233,35520.6463
B6,SURFACE CAR PARK,5,1,3,East,38797.4548,34284.616
B6M,MULTI-STOREY CAR PARK,4,1,3,East,38858.3585,34156.6609
B6T,SURFACE CAR PARK,5,1,3,East,39044.9784,33995.6053
B60,SURFACE CAR PARK,5,1,3,East,38654.6406,35490.0933
B63,SURFACE CAR PARK,5,1,3,East,37937.9062,35591.9375
B65,SURFACE CAR PARK,5,1,3,East,40502.4219,33588.332
B65L,SURFACE CAR PARK,5,1,3,East,40720.5785,33389.4366
B65M,MULTI-STOREY CAR PARK,4,1,3,East,40577.3467,33351.3208
B66,MULTI-STOREY CAR PARK,4,1,3,East,35903.9044,34750.8852
B67,MULTI-STOREY CAR PARK,4,1,3,East,36132.6219,34913.1736
B68,MULTI-STOREY CAR PARK,4,1,3,East,39530.0381,33861.6257
B69,MULTI-STOREY CAR PARK,4,1,3,East,40091.8567,35069.2759
B7,SURFACE CAR PARK,5,1,3,East,38973.5423,34152.0151
B7A,SURFACE CAR PARK,5,1,3,East,39208.9372,34373.2247
B7B,SURFACE CAR PARK,5,1,3,East,39298.3108,34305.7565
B70,SURFACE CAR PARK,5,1,3,East,38536.5889,34280.1109
B71,MULTI-STOREY CAR PARK,4,1,3,East,38125.3637,34059.3926
B72,MULTI-STOREY CAR PARK,4,1,3,East,36243.3489,35174.2762
B73,MULTI-STOREY CAR PARK,4,1,3,East,36196.3322,34965.864
B74,MULTI-STOREY CAR PARK,4,1,3,East,36428.7057,35005.0793
B75,MULTI-STOREY CAR PARK,4,1,3,East,37379.8318,35029.8453
B76,MULTI-STOREY CAR PARK,4,1,3,East,39251.41,35342.7343
B77,MULTI-STOREY CAR PARK,4,1,3,East,39464.4992,35319.6825
B78,MULTI-STOREY CAR PARK,4,1,3,East,39692.6527,35310.6109
B79,MULTI-STOREY CAR PARK,4,1,3,East,39583.9006,35439.6773
B8,SURFACE CAR PARK,5,1,3,East,38567.8313,34234.9589
B8B,BASEMENT CAR PARK,0,1,3,East,38531.1666,34114.4997
B80,MULTI-STOREY CAR PARK,4,1,3,East,38020.7204,35604.61
B81,MULTI-STOREY CAR PARK,4,1,3,East,39309.7384,33939.7118
B82,SURFACE CAR PARK,5,1,3,East,38805.8064,35117.6383
B83,MULTI-STOREY CAR PARK,4,1,3,East,37899.5392,34299.8988
B84,MULTI-STOREY CAR PARK,4,1,3,East,39227.6155,34273.0906
B85,MULTI-STOREY CAR PARK,4,1,3,East,40023.6834,34256.9953
B86,MULTI-STOREY CAR PARK,4,1,3,East,39393.0265,34775.2307
B87,MULTI-STOREY CAR PARK,4,1,3,East,39449.3971,33644.4324
B88,MULTI-STOREY CAR PARK,4,1,3,East,39683.2391,33835.9985
B89,MULTI-STOREY CAR PARK,4,1,3,East,39568.2194,34796.4641
B9,SURFACE CAR PARK,5,1,3,East,39184.2416,34709.4842
B90,MULTI-STOREY CAR PARK,4,1,3,East,39831.9791,33865.2621
B91,BASEMENT CAR PARK,0,1,3,East,37007.0862,34999.621
B92,MULTI-STOREY CAR PARK,4,1,3,East,39197.6251,33772.3265
B93,MULTI-STOREY CAR PARK,4,1,3,East,39224.3984,33631.2777
B94,MULTI-STOREY CAR PARK,4,1,3,East,38688.1313,34940.2851
B94A,SURFACE CAR PARK,5,1,3,East,38668.2981,34834.5151
B95,MULTI-STOREY CAR PARK,4,1,3,East,39325.3283,34194.2403
B96,MULTI-STOREY CAR PARK,4,1,3,East,39088.1581,34133.7804
B97,MULTI-STOREY CAR PARK,4,1,3,East,38037.1417,35371.0192
B98,MULTI-STOREY CAR PARK,4,1,3,East,37860.0561,35362.5681
B99M,MULTI-STOREY CAR PARK,4,1,3,East,37954.0727,34412.5835
CAM,MULTI-STOREY CAR PARK,4,4,2,South,24092.2494,31574.3039
CCKC,BASEMENT CAR PARK,0,2,0,West,18254.4236,40780.2921
CCM,MULTI-STOREY CAR PARK,4,4,2,South,24269.3904,31777.7395
CC1,SURFACE CAR PARK,5,1,3,East,37970.7792,34316.7372
CC10,SURFACE CAR PARK,5,1,3,East,38267.4015,34545.0259
CC11,SURFACE CAR PARK,5,1,3,East,37828.6078,34590.3599
CC12,BASEMENT CAR PARK,0,1,3,East,38194.9297,34332.7592
CC4,SURFACE CAR PARK,5,1,3,East,37801.1879,34221.6662
CC5,SURFACE CAR PARK,5,1,3,East,38025.2345,34117.8358
CC6,SURFACE CAR PARK,5,1,3,East,38043.4844,33973.1328
CC7,SURFACE CAR PARK,5,1,3,East,38279.717,34164.7007
CC8,SURFACE CAR PARK,5,1,3,East,37584.5733,34347.0451
CC9,SURFACE CAR PARK,5,1,3,East,38313.9557,34438.2547
CDM,MULTI-STOREY CAR PARK,4,4,2,South,23934.8536,31553.8887
CKK1,SURFACE CAR PARK,5,2,0,West,18073.929,40606.0548
CKM1,MULTI-STOREY CAR PARK,4,2,0,West,17706.6149,40616.7716
CKM2,MULTI-STOREY CAR PARK,4,2,0,West,18365.515,42251.984
CKM3,MULTI-STOREY CAR PARK,4,2,0,West,17241.061,40350.4217
CKM4,MULTI-STOREY CAR PARK,4,2,0,West,17384.4024,40068.5078
CKM5,MULTI-STOREY CAR PARK,4,2,0,West,17135.7982,40142.8636
CKM6,MULTI-STOREY CAR PARK,4,2,0,West,17141.5616,39946.6052
CKM7,MULTI-STOREY CAR PARK,4,2,0,West,17288.8253,39773.897
CKM8,MULTI-STOREY CAR PARK,4,2,0,West,17432.5108,39671.7658
CKM9,MULTI-STOREY CAR PARK,4,2,0,West,17981.6699,39927.7497
CKT1,SURFACE CAR PARK,5,2,0,West,17457.2727,40253.9548
CKT2,SURFACE CAR PARK,5,2,0,West,17986.1193,40839.8157
CK1,SURFACE CAR PARK,5,2,0,West,19169.1019,39939.7774
CK10,MULTI-STOREY CAR PARK,4,2,0,West,18219.6466,40274.898
CK11,MULTI-STOREY CAR PARK,4,2,0,West,17822.7967,40079.0923
CK12,SURFACE CAR PARK,5,2,0,West,17816.8828,40361.3125
CK13,SURFACE CAR PARK,5,2,0,West,17841.917,40541.616
CK14,SURFACE CAR PARK,5,2,0,West,17897.997,40235.3892
CK15,SURFACE CAR PARK,5,2,0,West,17716.2981,40045.082
CK16,SURFACE CAR PARK,5,2,0,West,17528.125,40178.0781
CK17,SURFACE CAR PARK,5,2,0,West,17691.7227,40448.332
CK18,SURFACE CAR PARK,5,2,0,West,18797.0391,40329.4648
CK19,SURFACE CAR PARK,5,2,0,West,18875.7734,40272.4492
CK2,SURFACE CAR PARK,5,2,0,West,18880.332,40136.4375
CK20,SURFACE CAR PARK,5,2,0,West,17629.7003,40593.1789
CK22,MULTI-STOREY CAR PARK,4,2,0,West,18276.2056,40644.1197
CK23,SURFACE CAR PARK,5,2,0,West,17782.5234,40677.3633
CK24,SURFACE CAR PARK,5,2,0,West,17983.1711,40586.8844
CK25,SURFACE CAR PARK,5,2,0,West,18031.459,40472.3086
CK26,SURFACE CAR PARK,5,2,0,West,17943.7793,40730.3711
CK28,MULTI-STOREY CAR PARK,4,2,0,West,18079.0694,40228.4669
CK29,SURFACE CAR PARK,5,2,0,West,18072.2888,40190.9725
CK3,SURFACE CAR PARK,5,2,0,West,18734.6348,40064.9164
CK3A,MULTI-STOREY CAR PARK,4,2,0,West,18725.4974,40162.9532
CK30,SURFACE CAR PARK,5,2,0,West,18213.6543,40111.7031
CK31,MULTI-STOREY CAR PARK,4,2,0,West,18164.3898,40080.8939
CK32,MULTI-STOREY CAR PARK,4,2,0,West,18055.7989,39931.0181
CK33,MULTI-STOREY CAR PARK,4,2,0,West,17943.2973,41180.8424
CK34,MULTI-STOREY CAR PARK,4,2,0,West,17736.9363,41167.5327
CK35,MULTI-STOREY CAR PARK,4,2,0,West,17881.6424,41361.0029
CK36,MULTI-STOREY CAR PARK,4,2,0,West,17735.8704,41577.6177
CK37,MULTI-STOREY CAR PARK,4,2,0,West,17863.0257,41773.0092
CK38,MULTI-STOREY CAR PARK,4,2,0,West,18148.0534,41666.0012
CK39,MULTI-STOREY CAR PARK,4,2,0,West,18090.945,42004.5732
CK4,SURFACE CAR PARK,5,2,0,West,18912.6962,40234.9502
CK4A,SURFACE CAR PARK,5,2,0,West,18972.5753,40347.8975
CK40,MULTI-STOREY CAR PARK,4,2,0,West,18298.9982,41919.8106
CK41,MULTI-STOREY CAR PARK,4,2,0,West,18333.4408,41430.698
CK42,MULTI-STOREY CAR PARK,4,2,0,West,18363.8684,41631.0171
CK44,MULTI-STOREY CAR PARK,4,2,0,West,18631.6662,41611.081
CK45,MULTI-STOREY CAR PARK,4,2,0,West,18724.0529,41824.3887
CK46,MULTI-STOREY CAR PARK,4,2,0,West,18675.6762,41907.1414
CK47,MULTI-STOREY CAR PARK,4,2,0,West,18471.7225,41904.1787
CK48,MULTI-STOREY CAR PARK,4,2,0,West,18189.9873,42143.3391
CK49,MULTI-STOREY CAR PARK,4,2,0,West,18006.9629,42295.9806
CK5,SURFACE CAR PARK,5,2,0,West,19030.3926,40238.918
CK50,MULTI-STOREY CAR PARK,4,2,0,West,18031.8277,42477.9839
CK51,MULTI-STOREY CAR PARK,4,2,0,West,18459.6171,42391.2166
CK52,MULTI-STOREY CAR PARK,4,2,0,West,18754.0711,42503.4389
CK53,MULTI-STOREY CAR PARK,4,2,0,West,18748.505,42602.4434
CK54,BASEMENT CAR PARK,0,2,0,West,18629.4583,42224.5521
CK55,COVERED CAR PARK,1,2,0,West,18561.8248,42111.2701
CK56,MULTI-STOREY CAR PARK,4,2,0,West,18357.265,42562.8339
CK57,MULTI-STOREY CAR PARK,4,2,0,West,18541.2289,42678.1909
CK58,MULTI-STOREY CAR PARK,4,2,0,West,18157.8829,42638.4707
CK59,MULTI-STOREY CAR PARK,4,2,0,West,17841.6171,39866.5767
CK6,SURFACE CAR PARK,5,2,0,West,19073.3023,40300.0728
CK6A,MULTI-STOREY CAR PARK,4,2,0,West,19076.7918,40333.5431
CK60,MULTI-STOREY CAR PARK,4,2,0,West,18268.595,42905.4416
CK61,MULTI-STOREY CAR PARK,4,2,0,West,18607.321,42882.7597
CK62,MULTI-STOREY CAR PARK,4,2,0,West,18715.5324,42855.1194
CK63,MULTI-STOREY CAR PARK,4,2,0,West,18826.1888,42747.1959
CK64,MULTI-STOREY CAR PARK,4,2,0,West,18872.7705,42404.3378
CK65,SURFACE CAR PARK,5,2,0,West,18064.0069,41548.1433
CK66,MULTI-STOREY CAR PARK,4,2,0,West,18233.5224,41769.4117
CK7,MULTI-STOREY CAR PARK,4,2,0,West,18945.8673,40250.2699
CK70,MULTI-STOREY CAR PARK,4,2,0,West,17408.5254,39880.0108
CK71,MULTI-STOREY CAR PARK,4,2,0,West,17467.9916,39852.8673
CK72,MULTI-STOREY CAR PARK,4,2,0,West,17718.345,39728.0193
CK73,MULTI-STOREY CAR PARK,4,2,0,West,17994.5933,39697.5018
CK74,MULTI-STOREY CAR PARK,4,2,0,West,17975.1882,39477.9306
CK75,MULTI-STOREY CAR PARK,4,2,0,West,18119.3938,39664.2718
CK76,MULTI-STOREY CAR PARK,4,2,0,West,18305.5202,39560.1044
CK77,MULTI-STOREY CAR PARK,4,2,0,West,18361.9468,39838.3954
CK78,MULTI-STOREY CAR PARK,4,2,0,West,18660.8389,39885.9891
CK79,MULTI-STOREY CAR PARK,4,2,0,West,18695.601,39679.8718
CK8,SURFACE CAR PARK,5,2,0,West,18405.5916,40449.7464
CK8A,MULTI-STOREY CAR PARK,4,2,0,West,18614.0227,40353.8181
CK9,SURFACE CAR PARK,5,2,0,West,18162.1088,40384.5044
CK9A,SURFACE CAR PARK,5,2,0,West,18449.8356,40217.8144
CLM,MULTI-STOREY CAR PARK,4,4,2,South,25894.5957,30541.7316
CLNA,MULTI-STOREY CAR PARK,4,0,0,West,20180.2167,33851.5291
CLRG,MULTI-STOREY CAR PARK,4,0,2,South,20283.9283,33479.407
CLTR,MULTI-STOREY CAR PARK,4,0,2,South,20411.5945,33513.7467
CM1,MULTI-STOREY CAR PARK,4,4,2,South,28656.4003,28548.62
CR1,SURFACE CAR PARK,5,4,2,South,31337.5185,31734.6056
CR1A,SURFACE CAR PARK,5,4,2,South,31521.2359,31781.8809
CR1B,SURFACE CAR PARK,5,4,2,South,31565.7734,31819.2245
CR2,SURFACE CAR PARK,5,4,2,South,31599.1055,31890.8184
CR29,SURFACE CAR PARK,5,4,2,South,30612.5155,32012.4666
CR3,SURFACE CAR PARK,5,4,2,South,31450.707,31933.4004
CR30,SURFACE CAR PARK,5,4,2,South,30406.377,32213.3125
CR31,SURFACE CAR PARK,5,4,2,South,30379.3535,32063.9883
CR4,SURFACE CAR PARK,5,4,2,South,31351.9277,31854.1587
CR5,SURFACE CAR PARK,5,4,2,South,31218.4922,31730.7441
CR7,SURFACE CAR PARK,5,4,2,South,31229.7422,31984.8511
CSM,MULTI-STOREY CAR PARK,4,4,2,South,28873.2635,29983.8819
CTM1,MULTI-STOREY CAR PARK,4,0,2,South,20293.6227,33003.4096
CVBK,MULTI-STOREY CAR PARK,4,4,3,East,31083.7452,33199.2328
CV1,MECHANISED AND SURFACE CAR PARK,2,1,1,North-East,45233.8667,41140.4649
CV2,SURFACE CAR PARK,5,1,1,North-East,45212.8158,41314.4339
CV3,SURFACE CAR PARK,5,1,1,North-East,45045.6516,41323.3393
CV4,SURFACE CAR PARK,5,1,1,North-East,45264.5806,41344.1397
CY,SURFACE CAR PARK,5,4,2,South,30264.3593,31442.1456
C10,SURFACE CAR PARK,5,0,2,South,20837.8461,33414.5726
C11,SURFACE CAR PARK,5,0,2,South,20522.6462,33009.6141
C12,SURFACE CAR PARK,5,0,2,South,20519.9139,33782.4237
C13M,MULTI-STOREY CAR PARK,4,0,2,South,20528.1198,33646.8063
C14M,MULTI-STOREY CAR PARK,4,0,2,South,20417.4455,33296.1766
C15M,MULTI-STOREY CAR PARK,4,0,2,South,20290.6787,33170.3249
C16,SURFACE CAR PARK,5,0,2,South,20116.5191,32955.7857
C17,SURFACE CAR PARK,5,0,2,South,20273.9935,32905.3373
C18,SURFACE CAR PARK,5,0,2,South,20215.8784,32729.9597
C18A,SURFACE CAR PARK,5,0,2,South,20306.3068,32672.9468
C19M,MULTI-STOREY CAR PARK,4,0,2,South,20269.322,32850.6337
C2M,MULTI-STOREY CAR PARK,4,0,2,South,20717.3694,32581.3946
C20,SURFACE CAR PARK,5,0,2,South,20425.9232,32848.95
C20M,MULTI-STOREY CAR PARK,4,0,2,South,20469.2131,32645.0967
C21L,SURFACE CAR PARK,5,0,2,South,20624.0039,32590.9865
C21M,MULTI-STOREY CAR PARK,4,0,2,South,20566.6991,32662.4476
C22M,MULTI-STOREY CAR PARK,4,0,2,South,20991.1005,33766.9817
C24,SURFACE CAR PARK,5,0,2,South,21096.4707,34048.6484
C25,SURFACE CAR PARK,5,0,2,South,20840.7482,33844.4911
C26,SURFACE CAR PARK,5,0,2,South,20945.3775,33870.6421
C27,SURFACE CAR PARK,5,0,2,South,21010.3372,33832.437
C28,SURFACE CAR PARK,5,0,2,South,20211.495,33712.5638
C28M,MULTI-STOREY CAR PARK,4,0,0,West,20070.902,33845.674
C29,SURFACE CAR PARK,5,0,2,South,19754.8437,32767.8945
C29A,SURFACE CAR PARK,5,0,2,South,19749.6211,32629.2695
C3M,MULTI-STOREY CAR PARK,4,0,2,South,20967.8189,32458.1382
C3ML,SURFACE CAR PARK,5,0,2,South,20852.22,32522.1809
C30,SURFACE CAR PARK,5,0,2,South,19998.4863,32640.0059
C31,SURFACE CAR PARK,5,0,2,South,19907.0039,32541.0547
C32,SURFACE CAR PARK,5,0,2,South,19738.0729,32326.8057
C33,SURFACE CAR PARK,5,0,2,South,20603.5028,31877.1704
C34,SURFACE CAR PARK,5,0,2,South,19944.5184,32148.1942
C35,SURFACE CAR PARK,5,0,2,South,20000.4883,31993.6074
C36,SURFACE CAR PARK,5,0,2,South,20236.2232,31960.1377
C37,SURFACE CAR PARK,5,0,2,South,20282.323,31764.2687
C38,SURFACE CAR PARK,5,0,2,South,20121.5156,31683.3711
C39,SURFACE CAR PARK,5,0,2,South,20089.6113,32510.9746
C4M,MULTI-STOREY CAR PARK,4,0,2,South,21009.1656,32642.4126
C40L,SURFACE CAR PARK,5,0,2,South,20273.1009,31460.4731
C40M,MULTI-STOREY CAR PARK,4,0,2,South,20275.5121,31340.853
C41,SURFACE CAR PARK,5,0,2,South,20789.5326,31386.0593
C5,SURFACE CAR PARK,5,0,2,South,20905.8297,32821.8286
C6,SURFACE CAR PARK,5,0,2,South,20696.2978,32975.0306
C7,SURFACE CAR PARK,5,0,2,South,21037.2754,33018.7828
C8,SURFACE CAR PARK,5,0,2,South,20800.9102,33216.8047
C9,SURFACE CAR PARK,5,0,2,South,20988.0194,33324.5654
DRM1,MULTI-STOREY CAR PARK,4,4,2,South,25576.6096,29218.1692
DRM2,MULTI-STOREY CAR PARK,4,4,2,South,25165.8976,29305.1091
DRM3,MULTI-STOREY CAR PARK,4,4,2,South,25390.1316,29254.1321
DRM4,MULTI-STOREY CAR PARK,4,4,2,South,25668.1428,29257.6985
DRM5,BASEMENT CAR PARK,0,4,2,South,25346.6693,29308.7018
DRS,SURFACE CAR PARK,5,4,2,South,25737.908,29213.3689
DSRL,SURFACE CAR PARK,5,4,2,South,24864.8825,31078.208
DSR1,MULTI-STOREY CAR PARK,4,4,2,South,24685.6441,31202.2045
DSR2,MULTI-STOREY CAR PARK,4,4,2,South,24885.23,31140.1423
DUXM,BASEMENT CAR PARK,0,4,2,South,28860.8985,28827.1925
DWSO,MULTI-STOREY CAR PARK,4,4,2,South,25064.6593,30982.3473
DWSP,MULTI-STOREY CAR PARK,4,4,2,South,25620.1022,30938.7202
DWST,MULTI-STOREY CAR PARK,4,4,2,South,25626.2862,30840.6986
DWSV,MULTI-STOREY CAR PARK,4,4,2,South,25362.2059,30853.9755
DWVT,MULTI-STOREY CAR PARK,4,4,2,South,25420.9278,30734.4029
ECM,MULTI-STOREY CAR PARK,4,1,3,East,35602.0712,33584.2527
ECML,SURFACE CAR PARK,5,1,3,East,35592.0791,33722.6334
ECM2,MULTI-STOREY CAR PARK,4,1,3,East,35493.2923,33564.1391
EC2,SURFACE CAR PARK,5,1,3,East,35915.3437,33873.7578
EC3,SURFACE CAR PARK,5,1,3,East,35919.0977,33712.4297
EC4,SURFACE CAR PARK,5,1,3,East,35720.628,33641.6254
EC5,SURFACE CAR PARK,5,1,3,East,35717.5859,33809.3711
EC7,SURFACE CAR PARK,5,1,3,East,35601.9233,33339.4481
EC7T,SURFACE CAR PARK,5,1,3,East,35554.1536,33406.7099
EC8,SURFACE CAR PARK,5,1,3,East,35778.02,33499.0305
EI1,SURFACE CAR PARK,5,1,3,East,35070.0793,33964.0908
EI3,SURFACE CAR PARK,5,1,3,East,35240.6635,33456.9535
EPL,SURFACE CAR PARK,5,4,2,South,28733.8679,28847.7781
EPM,MULTI-STOREY CAR PARK,4,4,2,South,28622.0835,28739.5121
FRM,MULTI-STOREY CAR PARK,4,4,2,South,31121.2668,32341.4155
FR2C,COVERED CAR PARK,1,4,2,South,25150.3008,33394.0586
FR2S,SURFACE CAR PARK,5,4,2,South,25091.4622,33354.5073
FR3M,MULTI-STOREY CAR PARK,4,4,2,South,24983.1434,33218.9585
FR4M,MULTI-STOREY CAR PARK,4,4,2,South,25130.4814,33238.9594
GBM,MULTI-STOREY CAR PARK,4,4,3,East,31930.2182,33890.9953
GEM,MULTI-STOREY CAR PARK,4,4,3,East,34041.285,33588.5472
GEML,SURFACE CAR PARK,5,4,3,East,34068.7879,33577.593
GE1A,SURFACE CAR PARK,5,4,3,East,33577.7747,33572.0259
GE1B,SURFACE CAR PARK,5,4,3,East,33973.3743,33717.7668
GE1C,SURFACE CAR PARK,5,4,3,East,33896.2141,33557.8016
GE1D,SURFACE CAR PARK,5,4,3,East,34214.9727,33789.4883
GE1E,SURFACE CAR PARK,5,4,3,East,33687.9721,33553.6719
GE1F,SURFACE CAR PARK,5,4,3,East,33666.5701,33497.1087
GE1G,SURFACE CAR PARK,5,4,3,East,33897.2922,33690.8917
GE2,SURFACE CAR PARK,5,4,3,East,33733.7656,33357.2852
GE3,SURFACE CAR PARK,5,4,3,East,34014.6484,33308.1484
GE5,SURFACE CAR PARK,5,4,3,East,34037.1328,33202.9687
GMLM,MULTI-STOREY CAR PARK,4,4,2,South,22713.9209,32338.0954
GM1A,MULTI-STOREY CAR PARK,4,4,2,South,22836.9123,32767.7127
GM1B,MULTI-STOREY CAR PARK,4,4,2,South,22985.068,32801.7739
GM1M,MULTI-STOREY CAR PARK,4,4,2,South,22552.3566,32407.3317
GM2,SURFACE CAR PARK,5,4,2,South,22974.2865,32655.7823
GM2A,MULTI-STOREY CAR PARK,4,4,2,South,22874.5952,32575.0244
GM3,SURFACE CAR PARK,5,4,2,South,23051.41,32606.52
GM5,SURFACE CAR PARK,5,4,2,South,23013.32,32520.93
GM6A,MULTI-STOREY CAR PARK,4,4,2,South,23036.915,32422.5932
GM6B,MULTI-STOREY CAR PARK,4,4,2,South,22917.7735,32435.7026
GSM,MULTI-STOREY CAR PARK,4,1,3,East,35236.2639,33275.6378
GSML,SURFACE CAR PARK,5,1,3,East,35252.7807,33256.2338
HCM,MULTI-STOREY CAR PARK,4,4,2,South,26691.3633,30161.685
HDBH,BASEMENT CAR PARK,0,4,3,East,29669.4119,34933.9237
HE1,SURFACE CAR PARK,5,4,2,South,26779.8906,30181.1563
HE12,SURFACE CAR PARK,5,4,2,South,26367.5806,30069.2434
HE14,SURFACE CAR PARK,5,4,2,South,26768.4355,29793.2871
HE17,SURFACE CAR PARK,5,4,2,South,26561.0277,29871.6493
HE19,SURFACE CAR PARK,5,4,2,South,26627.3867,30326.9473
HE22,SURFACE CAR PARK,5,4,2,South,26834.7218,30269.4645
HE24,SURFACE CAR PARK,5,4,2,South,26627.4121,29677.5937
HE3,SURFACE CAR PARK,5,4,2,South,26708.25,29683.2227
HE4,SURFACE CAR PARK,5,4,2,South,26827.4609,29545.2148
HE9,SURFACE CAR PARK,5,4,2,South,26650.6074,29571.3613
HG1,SURFACE CAR PARK,5,1,1,North-East,34773.1311,38246.9455
HG1A,MULTI-STOREY CAR PARK,4,1,1,North-East,35619.4738,40071.2687
HG1B,MULTI-STOREY CAR PARK,4,1,1,North-East,35497.5223,39745.8425
HG1C,MULTI-STOREY CAR PARK,4,1,1,North-East,35850.5915,39983.2046
HG1D,MULTI-STOREY CAR PARK,4,1,1,North-East,34765.7308,38421.4154
HG1E,MULTI-STOREY CAR PARK,4,1,1,North-East,34832.7635,38300.6631
HG1F,MULTI-STOREY CAR PARK,4,1,1,North-East,33985.8567,37798.8386
HG10,SURFACE CAR PARK,5,1,3,East,34361.8201,37404.5949
HG11,SURFACE CAR PARK,5,1,1,North-East,34862.2295,38666.4192
HG12,SURFACE CAR PARK,5,1,1,North-East,35216.1904,38747.8164
HG13,SURFACE CAR PARK,5,1,1,North-East,35261.0156,38873.8796
HG14,SURFACE CAR PARK,5,1,1,North-East,35023.2798,39024.5479
HG15,SURFACE CAR PARK,5,1,1,North-East,33942.0874,37892.5664
HG16,SURFACE CAR PARK,5,1,1,North-East,34095.5904,37977.2274
HG17,SURFACE CAR PARK,5,1,1,North-East,34080.7076,37750.4416
HG18,SURFACE CAR PARK,5,1,1,North-East,34191.1758,37792.5508
HG19,SURFACE CAR PARK,5,1,3,East,33618.2651,37216.3433
HG2,SURFACE CAR PARK,5,1,1,North-East,34533.3906,38329.9531
HG2A,MULTI-STOREY CAR PARK,4,1,1,North-East,35501.0297,39817.8795
HG2B,MULTI-STOREY CAR PARK,4,1,1,North-East,33468.3697,39724.6803
HG2C,MULTI-STOREY CAR PARK,4,1,1,North-East,35112.2965,39125.1711
HG2D,SURFACE CAR PARK,5,1,1,North-East,33994.2969,40153.4168
HG20,SURFACE CAR PARK,5,1,3,East,33910.4258,36933.0703
HG22,SURFACE CAR PARK,5,1,3,East,33243.2373,37175.2101
HG23,SURFACE CAR PARK,5,1,1,North-East,34480.0781,37732.4375
HG24,SURFACE CAR PARK,5,1,1,North-East,34496.2494,37985.1602
HG26,SURFACE CAR PARK,5,1,1,North-East,35293.1914,39057.5898
HG29,SURFACE CAR PARK,5,1,1,North-East,35318.5017,39372.252
HG3A,MULTI-STOREY CAR PARK,4,1,1,North-East,33282.6779,40818.5609
HG3B,MULTI-STOREY CAR PARK,4,1,1,North-East,33375.828,40694.4027
HG3C,MULTI-STOREY CAR PARK,4,1,1,North-East,33418.229,40968.2736
HG3D,MULTI-STOREY CAR PARK,4,1,1,North-East,33158.7215,40684.5984
HG3E,MULTI-STOREY CAR PARK,4,1,1,North-East,33602.1418,40785.1834
HG3L,SURFACE CAR PARK,5,1,1,North-East,33373.4677,40905.5905
HG30,SURFACE CAR PARK,5,1,1,North-East,35083.1678,39473.6275
HG31,SURFACE CAR PARK,5,1,1,North-East,35031.5866,39712.0645
HG32,SURFACE CAR PARK,5,1,1,North-East,33869.4973,39265.7089
HG33,SURFACE CAR PARK,5,1,1,North-East,33681.9766,39065.4219
HG34,SURFACE CAR PARK,5,1,1,North-East,33362.3594,39106.8477
HG35,SURFACE CAR PARK,5,1,1,North-East,34192.6367,38725.0781
HG36,SURFACE CAR PARK,5,1,1,North-East,34041.3045,38684.032
HG37,SURFACE CAR PARK,5,1,1,North-East,34015.3359,39445.9023
HG38,SURFACE CAR PARK,5,1,1,North-East,34340.7388,39488.4518
HG39,SURFACE CAR PARK,5,1,1,North-East,33859.2191,39106.9608
HG4,SURFACE CAR PARK,5,1,1,North-East,34417.4102,38475.2617
HG40,SURFACE CAR PARK,5,1,3,East,34539.9612,37136.0181
HG41,SURFACE CAR PARK,5,1,1,North-East,33122.7539,39254.3111
HG42,SURFACE CAR PARK,5,1,1,North-East,33575.4429,39573.3197
HG43,SURFACE CAR PARK,5,1,1,North-East,33674.0721,39346.8732
HG44,SURFACE CAR PARK,5,1,1,North-East,33899.488,39516.6851
HG45,SURFACE CAR PARK,5,1,1,North-East,33877.2539,39766.0352
HG46,SURFACE CAR PARK,5,1,1,North-East,33969.957,39760.9531
HG47,MULTI-STOREY CAR PARK,4,1,1,North-East,34748.896,39244.171
HG48,SURFACE CAR PARK,5,1,1,North-East,34763.52,39713.1288
HG49,SURFACE CAR PARK,5,1,1,North-East,34837.5859,40085.5664
HG5,SURFACE CAR PARK,5,1,1,North-East,34565.1384,38599.6502
HG50,SURFACE CAR PARK,5,1,1,North-East,34456.3578,39923.9507
HG51,SURFACE CAR PARK,5,1,1,North-East,34320.5249,40069.8193
HG52,SURFACE CAR PARK,5,1,1,North-East,34280.7309,40250.2304
HG53,MULTI-STOREY CAR PARK,4,1,1,North-East,34386.2027,39209.6336
HG54,MULTI-STOREY CAR PARK,4,1,1,North-East,33679.7387,37636.4156
HG55,SURFACE CAR PARK,5,1,1,North-East,34665.4285,39409.9585
HG56,SURFACE CAR PARK,5,1,1,North-East,34321.5593,39246.2794
HG57,SURFACE CAR PARK,5,1,3,East,35081.043,37491.8984
HG58,SURFACE CAR PARK,5,1,3,East,35056,37688.4219
HG59,SURFACE CAR PARK,5,1,3,East,34677.457,36999.3906
HG60,MULTI-STOREY CAR PARK,4,1,1,North-East,34440.7881,40108.8916
HG61,MULTI-STOREY CAR PARK,4,1,1,North-East,34213.8314,40180.7212
HG62,MULTI-STOREY CAR PARK,4,1,1,North-East,34147.6282,40310.4206
HG63,MULTI-STOREY CAR PARK,4,1,1,North-East,35127.5269,39373.949
